scene_id,x,y
1,89669.8263482649,43133.249359249
1,89666.654747544,43127.828743249
1,89664.4003083518,43120.6122801863
1,89660.74151566059,43120.88943719641
1,89656.5449946397,43118.2506879222
1,89653.6801854312,43114.92727502636
1,89649.1719847671,43116.5098383689
1,89646.23527512372,43118.35634575545
1,89638.75746681316,43123.08362864045
2,89629.19155233384,43133.56996727585
2,89623.2953123768,43142.780640661294
3,89614.3331719073,43157.75036979714
3,89611.66701902713,43164.15189870392
3,89616.02165209792,43166.69542084855
3,89618.77321142425,43167.81764500434
3,89620.91807517617,43161.67594502034
3,89622.74721375789,43158.61275393848
3,89625.22348712545,43155.59244424343
4,89636.23007403579,43140.162832838745
4,89639.20277689157,43136.47132731119
4,89641.75639291154,43135.007684450575
4,89646.43930150129,43137.265477295456
4,89648.59891656622,43138.1518428364
4,89647.05369439794,43143.21891388218
4,89639.41349178937,43154.67921779505
5,89626.53132563343,43172.60397744916
5,89624.37078558319,43174.85503491136
5,89619.11787235177,43176.27067950669
5,89618.6665145519,43181.68223940247
5,89624.08319285762,43185.62164180664
6,89625.6589538193,43186.50800734758
6,89635.4217181978,43191.11354841604
6,89636.67455419249,43176.7930218082
6,89644.272630179,43181.58375434237
6,89649.4931839795,43182.88283883897
6,89654.09484983381,43186.00678163977
7,89656.76522914713,43186.77648973221
7,89662.59085135839,43186.31103722737
7,89664.6519813632,43180.59890374133
7,89661.82475277453,43175.053091417925
7,89653.5389779191,43173.91648142536
8,89653.55261098284,43173.852316461125
8,89641.61353355618,43170.848882791004
8,89644.17414511889,43163.8564435236
8,89649.39385330441,43161.295831960895
8,89654.51507642983,43160.70492160027
8,89658.88457416324,43157.09578292811
8,89661.01509039672,43161.49280208111
8,89663.67418701953,43166.810995326734
9,89663.63256650219,43166.72464657866
9,89668.69692508485,43174.68980013507
9,89673.35962386563,43170.069368877856
9,89676.83176955687,43166.79300447122
9,89683.99726202743,43157.35199340106
9,89682.68180361965,43152.33369149141
9,89678.86630099935,43150.45496153564
9,89673.81814821027,43150.26550522922
9,89668.69692508485,43148.29580402713
10,89664.47759352298,43147.34778973154
10,89657.96205353348,43145.735192464424
10,89653.0249089379,43140.64656710365
10,89657.25336193205,43133.91698525191
10,89661.03255755042,43128.26751147497
10,89655.10598679047,43124.56090454201
10,89647.41709584497,43118.35634575545
10,89649.19688318421,43123.08362864045
10,89645.55293596035,43117.863920454925
10,89636.06499683502,43122.717182947454
10,89633.66249995865,43126.31865608472
10,89629.20441598304,43133.5230450115
