scene_id,x,y
1,89669.8263482649,43133.249359249
1,89666.654747544,43127.828743249
1,89664.4003083518,43120.6122801863
1,89661.950536644,43120.2472643434
1,89656.5449946397,43118.2506879222
1,89653.4276236512,43113.5957646771
1,89649.1719847671,43116.5098383689
1,89648.8684761277,43118.6712936447
1,89644.8184108427,43119.6322709989
2,89630.3047534366,43129.093105304
2,89629.1003884295,43130.5739137025
2,89624.1856735323,43137.9120475824
2,89618.1439015533,43146.4114895188
2,89611.66462206365,43155.85938138359
2,89606.23116858031,43166.65725822355
2,89611.814360477,43171.5002036686
2,89618.62250495913,43169.88281511697
2,89623.57599581411,43164.37184060527
2,89628.086034556,43158.3721331033
2,89630.6177207143,43153.6348138806
3,89632.704555116,43147.7427274125
3,89634.9383437007,43140.3489106976
3,89640.74274913318,43133.36758137901
3,89645.04043390517,43134.49829890869
3,89648.5240554177,43136.1116713347
3,89649.97121484423,43141.2818768593
3,89646.301192144,43146.6472149787
3,89639.3607445843,43157.6758101575
4,89630.78764282561,43170.12025488979
4,89627.96569399504,43173.673820083866
4,89608.5134915178,43178.5243286101
4,89617.2998416211,43185.7796210694
4,89621.0306228177,43189.6255196053
4,89633.5592390161,43196.5439575762
4,89640.4981241222,43193.8271352669
4,89631.8189842103,43176.4688554432
4,89639.6361425902,43170.4318756141
4,89646.425341623,43178.691562006
4,89649.101654387,43185.5334291619
4,89656.6736693537,43191.8660711309
4,89668.6436731222,43191.4134826905
4,89665.1074521774,43179.6958022461
4,89658.4442521555,43176.0670144591
5,89652.513674908,43174.5117894695
5,89645.4339251993,43173.1441576408
5,89639.2565768446,43165.74299612633
5,89647.9961913244,43162.1729441005
5,89652.299692273,43160.3594119467
5,89656.81228204104,43159.25052606086
5,89663.63339513642,43155.83474495784
5,89661.0974635986,43162.59505800823
5,89663.81489580583,43168.13443904604
6,89664.44199554596,43169.1796052796
6,89670.3994430772,43176.49576891445
6,89675.35380150183,43169.434858936125
6,89677.8115047852,43165.9241821922
6,89682.77050114646,43160.42086154033
6,89682.98134608268,43153.89047676839
6,89681.3344773571,43147.7755356096
6,89676.56592385516,43148.17176398522
6,89668.3091106101,43147.12659775167
6,89660.2595954725,43148.709280782125
6,89656.91679866439,43143.78206580431
0,89656.70776541768,43143.46851593424
0,89655.9404511157,43140.59873594875
0,89656.64869413276,43137.87358492351
0,89657.05415534982,43134.9391582424
0,89657.9855423784,43130.27156985478
0,89655.53180030442,43125.3389836003
0,89659.32958634863,43119.93900696739
0,89650.3895875387,43118.32858084642
0,89642.91157113481,43121.101958536245
0,89640.25328676277,43122.07699835131
0,89638.44810401881,43123.43198262969
0,89631.20570931904,43127.47747256091
0,89629.18439967083,43130.57980586088
