x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.8263482649,43133.249359249,0.0,0.0,0.0,0.890874,0.454251,11.0
89669.57768356297,43132.815583124575,0.0,0.0,0.0,-0.8614229532892663,0.5078882707312687,11.0
89669.33563525077,43132.378078665475,0.0,0.0,0.0,-0.8584042861765009,0.5129737629487613,11.0
89669.09877802205,43131.937741071066,0.0,0.0,0.0,-0.8561022017597134,0.5168065596934417,11.0
89668.8658674146,43131.49530254486,0.0,0.0,0.0,-0.854444998869677,0.5195418596288442,11.0
89668.6357913329,43131.05138293768,0.0,0.0,0.0,-0.8533795598930033,0.5212900600978538,11.0
89668.40753471608,43130.60652476559,0.0,0.0,0.0,-0.8528667206206662,0.5221286784479001,11.0
89668.18015307773,43130.16121860124,0.0,0.0,0.0,-0.852877677527798,0.5221107805579095,11.0
89667.95275275162,43129.715921984454,0.0,0.0,0.0,-0.8533913140274348,0.5212708174668211,11.0
89667.72447607167,43129.27107410358,0.0,0.0,0.0,-0.8543920381942944,0.5196289494150603,11.0
89667.49449046778,43128.827107557954,0.0,0.0,0.0,-0.8558678978770037,0.5171944908674093,11.0
89667.2619809076,43128.384457964414,0.0,0.0,0.0,-0.8578088596838405,0.513968831980996,11.0
89667.02614536908,43127.94357188377,0.0,0.0,0.0,-0.8602051841202385,0.5099480769771237,11.0
89666.78619317581,43127.504913303776,0.0,0.0,0.0,-0.863045822708613,0.5051256357632361,11.0
89666.54134618252,43127.06896869029,0.0,0.0,0.0,-0.866316825610459,0.4994949025407742,11.0
89666.29084284877,43126.636250457836,0.0,0.0,0.0,-0.8699997939775089,0.49305208495562813,11.0
89666.0339452078,43126.207298585905,0.0,0.0,0.0,-0.8740704498233175,0.48579918561650914,11.0
89665.76994863346,43125.782680017976,0.0,0.0,0.0,-0.8784974448472201,0.4777470454088705,11.0
89665.49819410776,43125.36298545524,0.0,0.0,0.0,-0.8832415674284863,0.4689182589390936,11.0
89665.21808240666,43124.94882322021,0.0,0.0,0.0,-0.8882555257630975,0.45934967176577274,11.0
89664.92908927852,43124.54081004355,0.0,0.0,0.0,-0.8934844735104011,0.44909408323406064,11.0
89664.63078033857,43124.139558937706,0.0,0.0,0.0,-0.8988673808408577,0.4382207567656927,11.0
89664.32282413948,43123.74566474049,0.0,0.0,0.0,-0.9043392285888806,0.4268144323183886,11.0
89664.0050018273,43123.359688362776,0.0,0.0,0.0,-0.9098338952776496,0.41497262922257777,11.0
89663.67721191914,43122.982141193286,0.0,0.0,0.0,-0.9152875106518986,0.40280115794849763,11.0
89663.3394690653,43122.61347146418,0.0,0.0,0.0,-0.9206417366949312,0.3904084945993632,11.0
89662.99189665883,43122.2540542105,0.0,0.0,0.0,-0.9258466808438409,0.3778993564038485,11.0
89662.6347136679,43121.904186245105,0.0,0.0,0.0,-0.930863121984871,0.3653680994949876,11.0
89662.26821675072,43121.564087124876,0.0,0.0,0.0,-0.9356636243290127,0.3528931596212883,11.0
89661.89275959955,43121.233905981404,0.0,0.0,0.0,-0.9402327797186651,0.34053240659665884,11.0
89661.5087311367,43120.91373393473,0.0,0.0,0.0,-0.9445664321843075,0.32832035451766933,11.0
89661.11653450943,43120.60362075817,0.0,0.0,0.0,-0.9486702960522415,0.31626676933903813,11.0
89660.71656819194,43120.30359462947,0.0,0.0,0.0,-0.9525581256073966,0.30435672711363426,11.0
89660.3092101459,43120.013683516045,0.0,0.0,0.0,-0.9562497197365281,0.29255165954718404,11.0
89659.8948055491,43119.73393710164,0.0,0.0,0.0,-0.959768959280151,0.28079092720794196,11.0
89659.47365811851,43119.46444846043,0.0,0.0,0.0,-0.9631419551241339,0.2689936324147112,11.0
89659.04602495143,43119.20537501656,0.0,0.0,0.0,-0.9663953581694549,0.2570603269828525,11.0
89658.61211463067,43118.956958644514,0.0,0.0,0.0,-0.9695548297694753,0.24487431892847372,11.0
89658.17208835804,43118.71954512068,0.0,0.0,0.0,-0.9726435270944744,0.23230275332251302,11.0
89657.72606412283,43118.493603022675,0.0,0.0,0.0,-0.975680552820177,0.2191973057510377,11.0
89657.27412401173,43118.27974235619,0.0,0.0,0.0,-0.9786792037902902,0.20539478101549616,11.0
89656.81632510528,43118.078732936556,0.0,0.0,0.0,-0.9816448571146227,0.19071804974991768,11.0
89656.3527147194,43117.89152210159,0.0,0.0,0.0,-0.9845723530348538,0.17497794615154025,11.0
89655.88335103476,43117.719250639406,0.0,0.0,0.0,-0.9874427846764977,0.15797704577033927,11.0
89655.40833037143,43117.56326476335,0.0,0.0,0.0,-0.9902197124794612,0.1395167409922306,11.0
89654.92782232854,43117.42512030898,0.0,0.0,0.0,-0.9928450982554603,0.11940942538219224,11.0
89654.44211340757,43117.30657317082,0.0,0.0,0.0,-0.9952357305722723,0.09749790045060122,11.0
89653.95165813564,43117.20954746966,0.0,0.0,0.0,-0.9972816474371397,0.07368389026825861,11.0
