scene_id,x,y
1,89630.06749,43130.69456
1,89622.72441,43140.51679
1,89617.21863,43147.93275
1,89609.46071,43157.03414
1,89610.9263,43165.46136
1,89613.9601,43168.3828
1,89619.12879,43168.15807
1,89622.05023,43166.69736
1,89625.08403,43160.85448
1,89628.34256,43156.35997
1,89630.58981,43151.75309
2,89633.73598,43144.11241
2,89637.66868,43136.35937
2,89646.54535,43135.12337
2,89648.79261,43138.49426
2,89647.33189,43144.33713
2,89644.07337,43149.73055
2,89639.24176,43156.2476
3,89629.26472,43170.18416
3,89623.01994,43174.58622
3,89616.88154,43181.30454
3,89619.01643,43185.3496
3,89622.61205,43188.83285
3,89634.16501,43198.06695
3,89633.2634,43184.44099
3,89637.21209,43176.90258
3,89644.07337,43180.85509
3,89647.86158,43183.60339
4,89651.57095,43185.99653
4,89658.63073,43188.50933
4,89661.74182,43186.59482
4,89664.13496,43183.0051
4,89662.69908,43179.17607
4,89657.67347,43175.94533
5,89651.4513,43173.07355
5,89644.87015,43171.51801
5,89644.15221,43166.01378
5,89646.18638,43162.78303
5,89653.72478,43160.38989
6,89656.11793,43160.27023
6,89663.53668,43160.15057
6,89662.57942,43166.97103
6,89667.36571,43171.27869
6,89671.07508,43172.71458
6,89675.86137,43169.36418
6,89677.53657,43165.29583
7,89678.37417,43162.3044
7,89682.68183,43150.69765
7,89676.10068,43147.94554
7,89667.36571,43146.38999
7,89659.46833,43150.57799
7,89655.39998,43144.47548
7,89656.23759,43138.61227
7,89656.23759,43135.14221
8,89656.35724,43130.11661
8,89655.87861,43122.21923
8,89648.10089,43117.91157
8,89639.1266,43123.05683
8,89634.57963,43125.56963
8,89630.06749,43130.69456
