time[s],x,y,speed[kph],brake_limit[kph],turning_limit[kph],full_throttle_fkag
0,89669.8263482649,43133.249359249,30.0,58.192999945446516,58.192999945446516,1
0.05932428090153894,89669.57768356681,43132.81558312239,30.683415715985735,58.192999945446516,58.192999945446516,1
0.11735570652407706,89669.33563536886,43132.37807860032,31.35193773915738,65.94240343451449,65.94240343451449,1
0.17417528992862935,89669.09877886088,43131.937740618996,32.00649933997782,75.25231797488543,75.82773168859212,1
0.22985592106579134,89668.86587075023,43131.49530077981,32.64794021067793,73.91485697738983,89.61563915823905,1
0.28447093821516456,89668.63580102878,43131.05137787818,33.2679962460282,72.5550044316648,111.86456590539473,1
0.33809709358568873,89668.40755790153,43130.60651278682,33.86342451546746,71.17147307774992,160.66729498066655,1
0.3908058514348408,89668.18020163571,43130.16119366869,34.43642065073606,69.76285028579554,320.743635946218,1
0.4426601454762895,89667.95284519339,43129.715874642825,34.9888808898155,68.32758030885927,164.2268688082662,1
0.4940968873448662,89667.72463989581,43129.270990131954,35,66.86394317190476,117.01831497831314,1
0.5455254587734376,89667.49476511429,43128.82696617883,35,65.37002938364557,96.10961359167071,1
0.5969540302020091,89667.2624214197,43128.38422946893,35,63.84370941475973,83.61481770551092,1
0.6483826016305805,89667.02682687342,43127.94321450593,35,62.28259655498037,75.062601874381,1
0.6998111730591519,89666.78721626538,43127.50436915146,35,60.684001304791536,68.74184235003048,1
0.7512397444877232,89666.5428432342,43127.068158525566,35,59.04487481787743,63.843299898538376,1
0.8026683159162946,89666.29298521967,43126.635067123585,35,57.36173800047425,59.93166361133368,1
0.854096887344866,89666.03695112602,43126.205598912784,35,55.63059155598725,56.751674019375486,1
0.9055254587734374,89665.77409142876,43125.78027513234,35,53.846800317311,54.14413104483266,1
0.9569540302020088,89665.50381022709,43125.35962955853,35,52.00494227269136,52.00494227269136,1
1.0083826016305801,89665.2255784547,43124.944201131235,35,50.26324077534427,50.26324077534427,1
1.0598111730591515,89664.93894715754,43124.534524077,35,48.86874370745199,48.86874370745199,1
1.111239744487723,89664.64355949286,43124.131116003846,35,47.783937959258935,47.783937959258935,1
1.1626683159162943,89664.33915998977,43123.734464829125,35,46.97893400024809,46.97893400024809,1
1.2140968873448656,89664.0255997137,43123.34501575913,35,46.427942086093346,46.427942086093346,1
1.265525458773437,89663.70283635399,43122.963159742765,35,46.10634581899209,46.10634581899209,1
1.3169540302020084,89663.37092866458,43122.589224929485,35,45.988669593254095,45.988669593254095,1
1.3683826016305798,89663.03002551093,43122.22347238307,35,46.04712505074984,46.04712505074984,1
1.4198111730591512,89662.68035049002,43121.86609675646,35,46.24994536407793,46.24994536407793,1
1.4712397444877225,89662.322183359,43121.51723223697,35,46.56056798190587,46.56056798190587,1
1.522668315916294,89661.95583996446,43121.176963341946,35,46.937340827972285,46.937340827972285,1
1.5740968873448653,89661.5816523052,43120.84533962703,35,47.33346148627318,47.33346148627318,1
1.6255254587734367,89661.19995000468,43120.52239331704,35,47.698198693134685,47.698198693134685,1
1.676954030202008,89660.81104417489,43120.20815862165,35,47.97890844414194,47.97890844414194,1
1.7283826016305794,89660.41521423236,43119.90269179774,35,48.1239189083291,48.1239189083291,1
1.7798111730591508,89660.0126977817,43119.60609131046,35,48.08660148387798,48.08660148387798,1
1.8312397444877222,89659.60368358821,43119.31851766412,35,47.82905432983027,47.82905432983027,1
1.8826683159162936,89659.18830733722,43119.04021302993,35,47.326278302942235,47.326278302942235,1
1.934096887344865,89658.76665012483,43118.77152070688,35,46.567923251777984,46.567923251777984,1
1.9855254587734363,89658.3387394426,43118.51290513531,35,45.55975176001548,45.55975176001548,1
2.0369540302020077,89657.90455294601,43118.264972651654,35,44.32189233601183,44.32189233601183,1
2.0883826016305793,89657.46402530365,43118.02849373002,35,42.88647442681507,42.88647442681507,1
2.139811173059151,89657.01705902275,43117.80442688489,35,41.294340879960835,41.294340879960835,1
2.1912397444877225,89656.56354055885,43117.59394393998,35,39.59136859451661,39.59136859451661,1
2.242668315916294,89656.10336355932,43117.39845576762,35,37.825774951901685,37.825774951901685,1
2.2940968873448657,89655.6364616982,43117.21963590398,35,36.04625417770775,36.04625417770775,1
2.3455254587734373,89655.16285385567,43117.05943713976,35,34.301105879086975,34.301105879086975,1
2.3974726817554357,89654.68270402538,43116.920092709384,34.301105879086975,32.6382267263377,32.6382267263377,0
2.451252721978129,89654.19639644118,43116.80408911158,32.6382267263377,31.105676458707332,31.105676458707332,0
2.5077287113688227,89653.70462174344,43116.71409277233,31.105676458707332,29.752435432866612,29.752435432866612,0
2.5668826990313685,89653.20846135775,43116.652810363004,29.752435432866612,28.628960691143668,28.628960691143668,0
2.628546178136135,89652.70944492778,43116.6227677197,28.628960691143668,27.787362600211615,27.787362600211615,0
2.692357497094448,89652.2095441302,43116.62601108062,27.787362600211615,27.28137141156234,27.28137141156234,0
2.757730345492058,89651.71106531454,43116.66376860846,27.28137141156234,27.166300700523994,27.166300700523994,0
2.8238488747211683,89651.21642524815,43116.736150455195,27.166300700523994,27.501439967179838,27.501439967179838,0
2.88970123949846,89650.72784049172,43116.84198180211,27.501439967179838,28.355739561813927,28.355739561813927,0
2.954278920070453,89650.24700903286,43116.97883598695,28.245374847369202,29.82218287935803,29.82218287935803,1
3.017198837176327,89649.77487773605,43117.14326123019,28.970212292428872,32.045209543614746,32.045209543614746,1
3.078582460957305,89649.31155656275,43117.33112612039,29.677351638385744,35.27716937603657,35.27716937603657,1
3.138537114371011,89648.85638087179,43117.53798169072,30.368029245711636,40.003379331866086,40.003379331866086,1
