x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.0674883,43130.6945594,0.0,0.0,0.0,0.8908735393706145,0.4542514026937883,12.0
89630.00796120644,43130.77492336509,0.0,0.0,0.0,0.8907671838164677,0.4544599258853075,12.0
89629.94849742539,43130.85533290812,0.0,0.0,0.0,0.8906607794541359,0.45466842417541076,12.0
89629.88909608204,43130.935787392955,0.0,0.0,0.0,0.8905543262894491,0.45487689755267363,12.0
89629.82975630174,43131.016286183476,0.0,0.0,0.0,0.8904478243282403,0.4550853460056732,12.0
89629.77047720966,43131.09682864357,0.0,0.0,0.0,0.8903412735763453,0.45529376952298783,12.0
89629.71125793112,43131.1774141371,0.0,0.0,0.0,0.8902346740396021,0.4555021680931973,12.0
89629.65209759132,43131.258042027934,0.0,0.0,0.0,0.8901280257238519,0.4557105417048829,12.0
89629.59299531554,43131.338711679964,0.0,0.0,0.0,0.8900213286349382,0.45591889034662686,12.0
89629.53395022906,43131.41942245705,0.0,0.0,0.0,0.8899145827787073,0.45612721400701317,12.0
89629.47496145709,43131.50017372309,0.0,0.0,0.0,0.889807788161008,0.4563355126746271,12.0
89629.4160281249,43131.580964841945,0.0,0.0,0.0,0.8897009447876923,0.45654378633805515,12.0
89629.35714935775,43131.66179517748,0.0,0.0,0.0,0.8895940526646143,0.4567520349858853,12.0
89629.2983242809,43131.742664093596,0.0,0.0,0.0,0.8894871117976311,0.456960258606707,12.0
89629.2395520196,43131.82357095416,0.0,0.0,0.0,0.8893801221926023,0.4571684571891109,12.0
89629.18083169908,43131.90451512303,0.0,0.0,0.0,0.8892730838553901,0.4573766307216891,12.0
89629.12216244463,43131.9854959641,0.0,0.0,0.0,0.8891659967918597,0.4575847791930351,12.0
89629.06354338148,43132.066512841244,0.0,0.0,0.0,0.8890588610078787,0.4577929025917436,12.0
89629.00497363489,43132.14756511834,0.0,0.0,0.0,0.8889516765093173,0.4580010009064109,12.0
89628.94645233013,43132.22865215925,0.0,0.0,0.0,0.8888444433020487,0.4582090741256346,12.0
89628.88797859244,43132.309773327856,0.0,0.0,0.0,0.8887371613919484,0.4584171222380136,12.0
89628.82955154704,43132.39092798804,0.0,0.0,0.0,0.8886298307848949,0.4586251452321483,12.0
89628.77117031926,43132.472115503675,0.0,0.0,0.0,0.8885224514867692,0.45883314309664036,12.0
89628.7128340343,43132.55333523863,0.0,0.0,0.0,0.8884150235034548,0.4590411158200928,12.0
89628.65454181745,43132.63458655678,0.0,0.0,0.0,0.8883075468408382,0.4592490633911102,12.0
89628.59629279393,43132.71586882201,0.0,0.0,0.0,0.8882000215048086,0.45945698579829836,12.0
89628.53808608899,43132.79718139819,0.0,0.0,0.0,0.8880924475012573,0.4596648830302645,12.0
89628.47992082791,43132.8785236492,0.0,0.0,0.0,0.8879848248360788,0.45987275507561715,12.0
89628.42179613597,43132.95989493892,0.0,0.0,0.0,0.8878771535151702,0.4600806019229664,12.0
89628.36371113836,43133.041294631206,0.0,0.0,0.0,0.887769433544431,0.46028842356092353,12.0
89628.30566496038,43133.12272208996,0.0,0.0,0.0,0.8876728561767226,0.46047464686675166,12.0
89628.24765672725,43133.204176679035,0.0,0.0,0.0,0.8876359780655284,0.4605457311100093,12.0
89628.18968556427,43133.28565776232,0.0,0.0,0.0,0.8875990942619558,0.4606168123998034,12.0
89628.13175059664,43133.367164703675,0.0,0.0,0.0,0.8875622047662417,0.4606878907356781,12.0
89628.07385094967,43133.448696866995,0.0,0.0,0.0,0.8875253095786224,0.46075896611717765,12.0
89628.01598574859,43133.530253616154,0.0,0.0,0.0,0.8874884086993347,0.4608300385438462,12.0
89627.95815411863,43133.611834315016,0.0,0.0,0.0,0.887451502128615,0.46090110801522793,12.0
89627.90035518508,43133.693438327464,0.0,0.0,0.0,0.8874145898667003,0.46097217453086714,12.0
89627.84258807317,43133.77506501737,0.0,0.0,0.0,0.887377671913827,0.46104323809030806,12.0
89627.78485190819,43133.85671374861,0.0,0.0,0.0,0.887340748270232,0.46111429869309495,12.0
89627.72714581536,43133.93838388506,0.0,0.0,0.0,0.8873038189361521,0.4611853563387721,12.0
89627.66946891992,43134.020074790606,0.0,0.0,0.0,0.8872668839118242,0.46125641102688386,12.0
89627.61182034717,43134.101785829094,0.0,0.0,0.0,0.8872299431974849,0.46132746275697445,12.0
89627.55419922234,43134.183516364435,0.0,0.0,0.0,0.8871929967933714,0.4613985115285884,12.0
89627.49660467068,43134.26526576049,0.0,0.0,0.0,0.8871560446997204,0.46146955734126993,12.0
89627.43903581744,43134.34703338113,0.0,0.0,0.0,0.8871190869167691,0.46154060019456344,12.0
89627.38149178792,43134.42881859024,0.0,0.0,0.0,0.8870821234447543,0.4616116400880134,12.0
89627.32397170732,43134.51062075169,0.0,0.0,0.0,0.8870451542839133,0.46168267702116417,12.0
89627.26647470091,43134.59243922935,0.0,0.0,0.0,0.8870081794344828,0.4617537109935602,12.0
89627.20899989395,43134.674273387114,0.0,0.0,0.0,0.8869711988967003,0.46182474200474605,12.0
89627.1515464117,43134.756122588835,0.0,0.0,0.0,0.8869342126708027,0.4618957700542661,12.0
89627.09411337941,43134.8379861984,0.0,0.0,0.0,0.8868972207570273,0.4619667951416648,12.0
89627.03669992233,43134.919863579686,0.0,0.0,0.0,0.8868602231556113,0.4620378172664868,12.0
89626.97930516572,43135.001754096564,0.0,0.0,0.0,0.8868232198667919,0.4621088364282765,12.0
89626.92192823482,43135.08365711292,0.0,0.0,0.0,0.8867862108908066,0.4621798526265786,12.0
